date,lon,lat,SPEI,region
2000-01-16,-15.75,23.75,2.3740425,dakhla-oued_ed-dahab
2000-02-15,-15.75,23.75,-1.021716,dakhla-oued_ed-dahab
2000-03-16,-15.75,23.75,-0.07339281,dakhla-oued_ed-dahab
2000-04-16,-15.75,23.75,-0.25039795,dakhla-oued_ed-dahab
2000-05-16,-15.75,23.75,0.7560134,dakhla-oued_ed-dahab
2000-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2000-07-16,-15.75,23.75,-0.6782409,dakhla-oued_ed-dahab
2000-08-16,-15.75,23.75,0.6422434,dakhla-oued_ed-dahab
2000-09-16,-15.75,23.75,0.35032785,dakhla-oued_ed-dahab
2000-10-16,-15.75,23.75,0.16838937,dakhla-oued_ed-dahab
2000-11-16,-15.75,23.75,-0.36060816,dakhla-oued_ed-dahab
2000-12-16,-15.75,23.75,-1.5172743,dakhla-oued_ed-dahab
2001-01-16,-15.75,23.75,-2.0410945,dakhla-oued_ed-dahab
2001-02-15,-15.75,23.75,-1.4081261,dakhla-oued_ed-dahab
2001-03-16,-15.75,23.75,-1.4395729,dakhla-oued_ed-dahab
2001-04-16,-15.75,23.75,0.8011371,dakhla-oued_ed-dahab
2001-05-16,-15.75,23.75,-0.72432184,dakhla-oued_ed-dahab
2001-06-16,-15.75,23.75,-1.783787,dakhla-oued_ed-dahab
2001-07-16,-15.75,23.75,-0.018404774,dakhla-oued_ed-dahab
2001-08-16,-15.75,23.75,-1.6569057,dakhla-oued_ed-dahab
2001-09-16,-15.75,23.75,-1.1689429,dakhla-oued_ed-dahab
2001-10-16,-15.75,23.75,-1.0745484,dakhla-oued_ed-dahab
2001-11-16,-15.75,23.75,-0.47067156,dakhla-oued_ed-dahab
2001-12-16,-15.75,23.75,-0.62626684,dakhla-oued_ed-dahab
2002-01-16,-15.75,23.75,-1.1178093,dakhla-oued_ed-dahab
2002-02-15,-15.75,23.75,-1.3135937,dakhla-oued_ed-dahab
2002-03-16,-15.75,23.75,-0.9874511,dakhla-oued_ed-dahab
2002-04-16,-15.75,23.75,0.2818175,dakhla-oued_ed-dahab
2002-05-16,-15.75,23.75,-0.72432184,dakhla-oued_ed-dahab
2002-06-16,-15.75,23.75,-0.26063988,dakhla-oued_ed-dahab
2002-07-16,-15.75,23.75,-0.1259424,dakhla-oued_ed-dahab
2002-08-16,-15.75,23.75,-0.08225015,dakhla-oued_ed-dahab
2002-09-16,-15.75,23.75,2.6302786,dakhla-oued_ed-dahab
2002-10-16,-15.75,23.75,-0.9115465,dakhla-oued_ed-dahab
2002-11-16,-15.75,23.75,-1.0017956,dakhla-oued_ed-dahab
2002-12-16,-15.75,23.75,-0.7259941,dakhla-oued_ed-dahab
2003-01-16,-15.75,23.75,-1.1178093,dakhla-oued_ed-dahab
2003-02-15,-15.75,23.75,-0.57906145,dakhla-oued_ed-dahab
