date,lon,lat,SPEI
2000-01-16,-6.25,32.75,-0.91853285
2000-02-15,-6.25,32.75,-1.9351318
2000-03-16,-6.25,32.75,-2.011507
2000-04-16,-6.25,32.75,0.19597414
2000-05-16,-6.25,32.75,-0.309269
2000-06-16,-6.25,32.75,-1.3790672
2000-07-16,-6.25,32.75,-0.9800521
2000-08-16,-6.25,32.75,-0.7205924
2000-09-16,-6.25,32.75,0.16935797
2000-10-16,-6.25,32.75,1.013507
2000-11-16,-6.25,32.75,-0.8276031
2000-12-16,-6.25,32.75,1.0491889
2001-01-16,-6.25,32.75,0.21533422
2001-02-15,-6.25,32.75,-1.3821119
2001-03-16,-6.25,32.75,-1.2139133
2001-04-16,-6.25,32.75,-1.8208617
2001-05-16,-6.25,32.75,-0.29871407
2001-06-16,-6.25,32.75,-2.535437
2001-07-16,-6.25,32.75,-0.07300391
2001-08-16,-6.25,32.75,0.94424564
2001-09-16,-6.25,32.75,0.30566078
2001-10-16,-6.25,32.75,-0.24751633
2001-11-16,-6.25,32.75,-1.0469513
2001-12-16,-6.25,32.75,1.5561664
2002-01-16,-6.25,32.75,-1.7511728
2002-02-15,-6.25,32.75,-1.2650036
2002-03-16,-6.25,32.75,1.2827802
2002-04-16,-6.25,32.75,1.3606987
2002-05-16,-6.25,32.75,-0.37303498
2002-06-16,-6.25,32.75,-0.6738755
2002-07-16,-6.25,32.75,-0.090142585
2002-08-16,-6.25,32.75,0.59271467
2002-09-16,-6.25,32.75,-1.1824673
2002-10-16,-6.25,32.75,-0.09872037
2002-11-16,-6.25,32.75,1.6417606
2002-12-16,-6.25,32.75,-0.12088847
2003-01-16,-6.25,32.75,-0.10111957
2003-02-15,-6.25,32.75,-0.83789074
2003-03-16,-6.25,32.75,0.77677643
2003-04-16,-6.25,32.75,-0.049698144
2003-05-16,-6.25,32.75,-1.3683563
2003-06-16,-6.25,32.75,0.24403182
2003-07-16,-6.25,32.75,-0.43812224
2003-08-16,-6.25,32.75,-0.8191609
2003-09-16,-6.25,32.75,-1.6223059
2003-10-16,-6.25,32.75,1.7182628
2003-11-16,-6.25,32.75,0.270979
2003-12-16,-6.25,32.75,0.96756566
2004-01-16,-6.25,32.75,-1.6350975
2004-02-15,-6.25,32.75,-0.22902982
2004-03-16,-6.25,32.75,-0.250603
2004-04-16,-6.25,32.75,0.050130706
2004-05-16,-6.25,32.75,1.168641
2004-06-16,-6.25,32.75,-1.4828546
2004-07-16,-6.25,32.75,0.012152777
2004-08-16,-6.25,32.75,-0.37486482
2004-09-16,-6.25,32.75,-1.4311159
2004-10-16,-6.25,32.75,0.9526822
2004-11-16,-6.25,32.75,-0.16071822
2004-12-16,-6.25,32.75,0.46034604
2005-01-16,-6.25,32.75,-1.6589382
2005-02-15,-6.25,32.75,-0.04453117
2005-03-16,-6.25,32.75,-0.84180504
2005-04-16,-6.25,32.75,-1.9374157
2005-05-16,-6.25,32.75,-1.9766799
2005-06-16,-6.25,32.75,-0.69442207
2005-07-16,-6.25,32.75,-1.1001517
2005-08-16,-6.25,32.75,-0.78634423
2005-09-16,-6.25,32.75,-1.0998244
2005-10-16,-6.25,32.75,0.24490497
2005-11-16,-6.25,32.75,0.43621737
