date,lon,lat,SPEI
2000-01-16,-7.75,33.75,-0.46452928
2000-02-15,-7.75,33.75,-1.9716895
2000-03-16,-7.75,33.75,-1.9945755
2000-04-16,-7.75,33.75,0.98670954
2000-05-16,-7.75,33.75,0.015924837
2000-06-16,-7.75,33.75,-1.4376824
2000-07-16,-7.75,33.75,-0.76892495
2000-08-16,-7.75,33.75,-0.83765835
2000-09-16,-7.75,33.75,-0.47701913
2000-10-16,-7.75,33.75,0.5051225
2000-11-16,-7.75,33.75,-0.6998781
2000-12-16,-7.75,33.75,1.0111097
2001-01-16,-7.75,33.75,0.47523323
2001-02-15,-7.75,33.75,-1.1584026
2001-03-16,-7.75,33.75,-0.8521735
2001-04-16,-7.75,33.75,-1.943408
2001-05-16,-7.75,33.75,-0.42927876
2001-06-16,-7.75,33.75,-2.0226033
2001-07-16,-7.75,33.75,0.60167795
2001-08-16,-7.75,33.75,-0.27646413
2001-09-16,-7.75,33.75,0.3765267
2001-10-16,-7.75,33.75,-0.6163914
2001-11-16,-7.75,33.75,-1.1369973
2001-12-16,-7.75,33.75,1.3022114
2002-01-16,-7.75,33.75,-1.6422108
2002-02-15,-7.75,33.75,-1.5027328
2002-03-16,-7.75,33.75,0.79691577
2002-04-16,-7.75,33.75,0.8315772
2002-05-16,-7.75,33.75,-0.26166344
2002-06-16,-7.75,33.75,0.24008916
2002-07-16,-7.75,33.75,0.16552515
2002-08-16,-7.75,33.75,0.88291156
2002-09-16,-7.75,33.75,-0.43755975
2002-10-16,-7.75,33.75,0.4983872
2002-11-16,-7.75,33.75,2.1131635
2002-12-16,-7.75,33.75,-0.5588762
2003-01-16,-7.75,33.75,0.02194208
2003-02-15,-7.75,33.75,-0.601254
2003-03-16,-7.75,33.75,0.23379141
2003-04-16,-7.75,33.75,0.21072526
2003-05-16,-7.75,33.75,-1.4929494
2003-06-16,-7.75,33.75,-0.9760161
2003-07-16,-7.75,33.75,-1.2062222
2003-08-16,-7.75,33.75,-1.2935874
2003-09-16,-7.75,33.75,-1.5324265
2003-10-16,-7.75,33.75,1.7339706
2003-11-16,-7.75,33.75,0.41517085
2003-12-16,-7.75,33.75,1.0804617
2004-01-16,-7.75,33.75,-1.632221
2004-02-15,-7.75,33.75,-0.13122624
2004-03-16,-7.75,33.75,0.16371356
2004-04-16,-7.75,33.75,-0.035025585
2004-05-16,-7.75,33.75,1.1201762
2004-06-16,-7.75,33.75,-1.514537
2004-07-16,-7.75,33.75,-1.1621271
2004-08-16,-7.75,33.75,-0.29558176
2004-09-16,-7.75,33.75,-1.2262475
2004-10-16,-7.75,33.75,1.0306321
2004-11-16,-7.75,33.75,-0.71063006
2004-12-16,-7.75,33.75,-0.4110014
2005-01-16,-7.75,33.75,-1.7556373
2005-02-15,-7.75,33.75,0.49627087
2005-03-16,-7.75,33.75,-0.3668749
2005-04-16,-7.75,33.75,-1.8674792
2005-05-16,-7.75,33.75,-1.7311807
2005-06-16,-7.75,33.75,-1.7283499
2005-07-16,-7.75,33.75,-0.76892495
2005-08-16,-7.75,33.75,-1.3080957
2005-09-16,-7.75,33.75,-1.2636396
2005-10-16,-7.75,33.75,0.13641626
2005-11-16,-7.75,33.75,0.6074497
2005-12-16,-7.75,33.75,-0.3556972
2006-01-16,-7.75,33.75,1.5119032
2006-02-15,-7.75,33.75,0.87436825
2006-03-16,-7.75,33.75,-0.16207144
2006-04-16,-7.75,33.75,-0.13186468
2006-05-16,-7.75,33.75,-0.40985072
2006-06-16,-7.75,33.75,-0.34981972
2006-07-16,-7.75,33.75,-1.4926075
2006-08-16,-7.75,33.75,-0.78653675
2006-09-16,-7.75,33.75,-0.35870895
2006-10-16,-7.75,33.75,-0.09372246
2006-11-16,-7.75,33.75,-0.80192286
2006-12-16,-7.75,33.75,-0.92522675
2007-01-16,-7.75,33.75,-1.014274
2007-02-15,-7.75,33.75,0.4909102
2007-03-16,-7.75,33.75,-1.0175562
2007-04-16,-7.75,33.75,0.7851729
2007-05-16,-7.75,33.75,-0.89065814
2007-06-16,-7.75,33.75,-0.661258
