date,lon,lat,SPEI
2000-01-16,-15.75,23.75,2.3740425
2000-02-15,-15.75,23.75,-1.021716
2000-03-16,-15.75,23.75,-0.07339281
2000-04-16,-15.75,23.75,-0.25039795
2000-05-16,-15.75,23.75,0.7560134
2000-06-16,-15.75,23.75,-0.26063988
2000-07-16,-15.75,23.75,-0.6782409
2000-08-16,-15.75,23.75,0.6422434
2000-09-16,-15.75,23.75,0.35032785
2000-10-16,-15.75,23.75,0.16838937
2000-11-16,-15.75,23.75,-0.36060816
2000-12-16,-15.75,23.75,-1.5172743
2001-01-16,-15.75,23.75,-2.0410945
2001-02-15,-15.75,23.75,-1.4081261
2001-03-16,-15.75,23.75,-1.4395729
2001-04-16,-15.75,23.75,0.8011371
2001-05-16,-15.75,23.75,-0.72432184
2001-06-16,-15.75,23.75,-1.783787
2001-07-16,-15.75,23.75,-0.018404774
2001-08-16,-15.75,23.75,-1.6569057
2001-09-16,-15.75,23.75,-1.1689429
2001-10-16,-15.75,23.75,-1.0745484
2001-11-16,-15.75,23.75,-0.47067156
2001-12-16,-15.75,23.75,-0.62626684
2002-01-16,-15.75,23.75,-1.1178093
2002-02-15,-15.75,23.75,-1.3135937
2002-03-16,-15.75,23.75,-0.9874511
2002-04-16,-15.75,23.75,0.2818175
2002-05-16,-15.75,23.75,-0.72432184
2002-06-16,-15.75,23.75,-0.26063988
2002-07-16,-15.75,23.75,-0.1259424
2002-08-16,-15.75,23.75,-0.08225015
2002-09-16,-15.75,23.75,2.6302786
2002-10-16,-15.75,23.75,-0.9115465
2002-11-16,-15.75,23.75,-1.0017956
2002-12-16,-15.75,23.75,-0.7259941
2003-01-16,-15.75,23.75,-1.1178093
2003-02-15,-15.75,23.75,-0.57906145
2003-03-16,-15.75,23.75,-1.9260156
2003-04-16,-15.75,23.75,-1.1642239
2003-05-16,-15.75,23.75,-1.9180517
2003-06-16,-15.75,23.75,-2.2134385
2003-07-16,-15.75,23.75,-0.80137545
2003-08-16,-15.75,23.75,-0.18957816
2003-09-16,-15.75,23.75,-1.5213172
2003-10-16,-15.75,23.75,1.1609845
2003-11-16,-15.75,23.75,-0.51405793
2003-12-16,-15.75,23.75,0.14197637
2004-01-16,-15.75,23.75,-0.04012854
2004-02-15,-15.75,23.75,-1.4081261
2004-03-16,-15.75,23.75,-1.078156
2004-04-16,-15.75,23.75,-0.086836934
2004-05-16,-15.75,23.75,-0.2847423
2004-06-16,-15.75,23.75,-2.014965
2004-07-16,-15.75,23.75,-3.5120215
2004-08-16,-15.75,23.75,0.53699017
2004-09-16,-15.75,23.75,-0.96022373
2004-10-16,-15.75,23.75,-2.3532684
2004-11-16,-15.75,23.75,-0.36060816
2004-12-16,-15.75,23.75,0.26041234
2005-01-16,-15.75,23.75,1.5926247
2005-02-15,-15.75,23.75,1.9705588
2005-03-16,-15.75,23.75,-1.5222796
2005-04-16,-15.75,23.75,-0.2665485
2005-05-16,-15.75,23.75,-1.4153702
2005-06-16,-15.75,23.75,-2.014965
2005-07-16,-15.75,23.75,-1.3957014
2005-08-16,-15.75,23.75,-0.29593968
2005-09-16,-15.75,23.75,-1.4192268
2005-10-16,-15.75,23.75,-0.37948814
2005-11-16,-15.75,23.75,-0.49241233
2005-12-16,-15.75,23.75,-0.9116574
2006-01-16,-15.75,23.75,1.5926247
2006-02-15,-15.75,23.75,0.01337918
2006-03-16,-15.75,23.75,-1.5222796
2006-04-16,-15.75,23.75,-1.5188643
2006-05-16,-15.75,23.75,-1.6852336
2006-06-16,-15.75,23.75,-2.2134385
2006-07-16,-15.75,23.75,-1.3777096
2006-08-16,-15.75,23.75,-0.028324142
2006-09-16,-15.75,23.75,-1.0753807
2006-10-16,-15.75,23.75,-1.5467501
2006-11-16,-15.75,23.75,-2.0696175
2006-12-16,-15.75,23.75,-0.828168
2007-01-16,-15.75,23.75,-0.57191914
2007-02-15,-15.75,23.75,-1.7234904
2007-03-16,-15.75,23.75,-0.40075266
2007-04-16,-15.75,23.75,-1.1642239
2007-05-16,-15.75,23.75,-1.0986627
2007-06-16,-15.75,23.75,-2.014965
2007-07-16,-15.75,23.75,-2.3034096
2007-08-16,-15.75,23.75,0.53699017
2007-09-16,-15.75,23.75,-3.4639375
2007-10-16,-15.75,23.75,-0.51982003
2007-11-16,-15.75,23.75,-1.1318614
2007-12-16,-15.75,23.75,-0.828168
2008-01-16,-15.75,23.75,-0.57191914
2008-02-15,-15.75,23.75,-0.086097665
2008-03-16,-15.75,23.75,-1.0026704
2008-04-16,-15.75,23.75,-1.5298617
2008-05-16,-15.75,23.75,-1.9180517
2008-06-16,-15.75,23.75,-1.1769621
2008-07-16,-15.75,23.75,-0.1474625
2008-08-16,-15.75,23.75,-1.581483
2008-09-16,-15.75,23.75,2.7551386
2008-10-16,-15.75,23.75,1.6560204
2008-11-16,-15.75,23.75,0.5638617
2008-12-16,-15.75,23.75,1.4702668
2009-01-16,-15.75,23.75,0.7799126
2009-02-15,-15.75,23.75,-0.45602214
2009-03-16,-15.75,23.75,0.4543074
2009-04-16,-15.75,23.75,-0.7138523
2009-05-16,-15.75,23.75,-1.0986627
2009-06-16,-15.75,23.75,0.34583446
2009-07-16,-15.75,23.75,-1.3957014
2009-08-16,-15.75,23.75,-1.6938747
2009-09-16,-15.75,23.75,1.4502337
2009-10-16,-15.75,23.75,-0.9115465
2009-11-16,-15.75,23.75,-1.6443925
2009-12-16,-15.75,23.75,-0.828168
2010-01-16,-15.75,23.75,-2.0048487
2010-02-15,-15.75,23.75,-0.91290706
2010-03-16,-15.75,23.75,-1.5222796
2010-04-16,-15.75,23.75,-1.1259744
2010-05-16,-15.75,23.75,-0.72432184
2010-06-16,-15.75,23.75,-0.26063988
2010-07-16,-15.75,23.75,1.0993837
2010-08-16,-15.75,23.75,-0.82810533
2010-09-16,-15.75,23.75,0.11286933
2010-10-16,-15.75,23.75,-0.042967614
2010-11-16,-15.75,23.75,-0.49241233
2010-12-16,-15.75,23.75,-0.828168
2011-01-16,-15.75,23.75,-0.30093938
2011-02-15,-15.75,23.75,-0.47158194
2011-03-16,-15.75,23.75,0.5004591
2011-04-16,-15.75,23.75,-0.234207
2011-05-16,-15.75,23.75,-0.2847423
2011-06-16,-15.75,23.75,-0.26063988
2011-07-16,-15.75,23.75,0.52801764
2011-08-16,-15.75,23.75,-0.29593968
2011-09-16,-15.75,23.75,-1.2057508
2011-10-16,-15.75,23.75,-0.4848806
2011-11-16,-15.75,23.75,-0.51405793
2011-12-16,-15.75,23.75,-0.23478033
2012-01-16,-15.75,23.75,-0.57191914
2012-02-15,-15.75,23.75,0.94445246
2012-03-16,-15.75,23.75,-0.5791182
2012-04-16,-15.75,23.75,1.4603447
2012-05-16,-15.75,23.75,-1.0986627
2012-06-16,-15.75,23.75,-0.7671541
2012-07-16,-15.75,23.75,-0.6782409
2012-08-16,-15.75,23.75,-1.0612459
2012-09-16,-15.75,23.75,-1.6528155
2012-10-16,-15.75,23.75,-0.9115465
2012-11-16,-15.75,23.75,-0.51405793
2012-12-16,-15.75,23.75,-0.828168
2013-01-16,-15.75,23.75,-1.1522522
2013-02-15,-15.75,23.75,-2.0375018
2013-03-16,-15.75,23.75,-1.9260156
2013-04-16,-15.75,23.75,-1.5298617
2013-05-16,-15.75,23.75,-0.72432184
2013-06-16,-15.75,23.75,-1.5093858
2013-07-16,-15.75,23.75,1.0993837
2013-08-16,-15.75,23.75,-0.13601525
2013-09-16,-15.75,23.75,0.45665196
2013-10-16,-15.75,23.75,-0.5546476
2013-11-16,-15.75,23.75,-0.51405793
2013-12-16,-15.75,23.75,-0.828168
2014-01-16,-15.75,23.75,-0.57191914
2014-02-15,-15.75,23.75,-0.086097665
2014-03-16,-15.75,23.75,-0.08974773
2014-04-16,-15.75,23.75,-0.7430052
2014-05-16,-15.75,23.75,-1.0986627
2014-06-16,-15.75,23.75,-0.7671541
2014-07-16,-15.75,23.75,0.5076881
2014-08-16,-15.75,23.75,1.3989145
2014-09-16,-15.75,23.75,1.3648982
2014-10-16,-15.75,23.75,-1.8386296
2014-11-16,-15.75,23.75,0.19045874
2014-12-16,-15.75,23.75,-0.23478033
2015-01-16,-15.75,23.75,0.7799126
2015-02-15,-15.75,23.75,0.5671034
2015-03-16,-15.75,23.75,0.008214912
