date,lon,lat,SPEI
2000-01-16,-5.25,31.25,-1.1543316
2000-02-15,-5.25,31.25,-2.037743
2000-03-16,-5.25,31.25,-1.753562
2000-04-16,-5.25,31.25,-0.39896846
2000-05-16,-5.25,31.25,-0.51152587
2000-06-16,-5.25,31.25,-1.2001646
2000-07-16,-5.25,31.25,-1.2535695
2000-08-16,-5.25,31.25,0.38721624
2000-09-16,-5.25,31.25,-0.5607899
2000-10-16,-5.25,31.25,0.58474576
2000-11-16,-5.25,31.25,-1.1553469
2000-12-16,-5.25,31.25,0.69920707
2001-01-16,-5.25,31.25,-0.13428141
2001-02-15,-5.25,31.25,-1.6352009
2001-03-16,-5.25,31.25,-1.6449723
2001-04-16,-5.25,31.25,-1.8998568
2001-05-16,-5.25,31.25,-0.9933461
2001-06-16,-5.25,31.25,-2.1430914
2001-07-16,-5.25,31.25,-0.9785606
2001-08-16,-5.25,31.25,1.2072595
2001-09-16,-5.25,31.25,-0.04440914
2001-10-16,-5.25,31.25,0.019433042
2001-11-16,-5.25,31.25,-0.91295
2001-12-16,-5.25,31.25,1.6651533
2002-01-16,-5.25,31.25,-1.4827088
2002-02-15,-5.25,31.25,-1.4145193
2002-03-16,-5.25,31.25,1.3979154
2002-04-16,-5.25,31.25,1.2957953
2002-05-16,-5.25,31.25,-0.72886366
2002-06-16,-5.25,31.25,-1.2243176
2002-07-16,-5.25,31.25,-0.9785606
2002-08-16,-5.25,31.25,0.56922704
2002-09-16,-5.25,31.25,-1.0306084
2002-10-16,-5.25,31.25,-1.0480324
2002-11-16,-5.25,31.25,0.7388938
2002-12-16,-5.25,31.25,0.22613975
2003-01-16,-5.25,31.25,-0.6038774
2003-02-15,-5.25,31.25,-0.8018774
2003-03-16,-5.25,31.25,0.8820192
2003-04-16,-5.25,31.25,-0.6040835
2003-05-16,-5.25,31.25,-1.6245143
2003-06-16,-5.25,31.25,-0.052736953
2003-07-16,-5.25,31.25,-0.5546223
2003-08-16,-5.25,31.25,0.47985423
2003-09-16,-5.25,31.25,-1.158998
2003-10-16,-5.25,31.25,1.9784545
2003-11-16,-5.25,31.25,0.17463416
2003-12-16,-5.25,31.25,0.1792062
2004-01-16,-5.25,31.25,-1.6413151
2004-02-15,-5.25,31.25,0.17575674
2004-03-16,-5.25,31.25,-0.47098544
2004-04-16,-5.25,31.25,-0.13802597
2004-05-16,-5.25,31.25,1.2605469
2004-06-16,-5.25,31.25,-1.4326023
2004-07-16,-5.25,31.25,0.71019685
2004-08-16,-5.25,31.25,-0.12383659
2004-09-16,-5.25,31.25,-1.2981167
2004-10-16,-5.25,31.25,-0.02388376
2004-11-16,-5.25,31.25,0.33209583
2004-12-16,-5.25,31.25,1.1379112
2005-01-16,-5.25,31.25,-1.8569956
2005-02-15,-5.25,31.25,0.09240787
2005-03-16,-5.25,31.25,-0.4634155
2005-04-16,-5.25,31.25,-1.8210056
2005-05-16,-5.25,31.25,-1.795686
2005-06-16,-5.25,31.25,-0.86695355
2005-07-16,-5.25,31.25,-1.5590612
2005-08-16,-5.25,31.25,-0.17901507
2005-09-16,-5.25,31.25,-0.19059502
2005-10-16,-5.25,31.25,0.044036333
2005-11-16,-5.25,31.25,0.18853651
2005-12-16,-5.25,31.25,0.71938705
2006-01-16,-5.25,31.25,1.9262745
2006-02-15,-5.25,31.25,0.5934385
2006-03-16,-5.25,31.25,-1.5555639
2006-04-16,-5.25,31.25,-0.27118772
2006-05-16,-5.25,31.25,1.6657608
2006-06-16,-5.25,31.25,0.36229098
2006-07-16,-5.25,31.25,-0.25235385
2006-08-16,-5.25,31.25,-1.7336665
2006-09-16,-5.25,31.25,-0.24760613
2006-10-16,-5.25,31.25,0.35839373
2006-11-16,-5.25,31.25,-0.25725287
2006-12-16,-5.25,31.25,-0.6999401
2007-01-16,-5.25,31.25,-0.14228562
2007-02-15,-5.25,31.25,-0.3024697
2007-03-16,-5.25,31.25,-1.4510578
2007-04-16,-5.25,31.25,1.3042367
2007-05-16,-5.25,31.25,-1.6245143
2007-06-16,-5.25,31.25,-1.5415576
2007-07-16,-5.25,31.25,-1.693039
2007-08-16,-5.25,31.25,1.0977912
2007-09-16,-5.25,31.25,-0.28199226
2007-10-16,-5.25,31.25,0.5794124
2007-11-16,-5.25,31.25,-0.45039585
2007-12-16,-5.25,31.25,-0.9932054
2008-01-16,-5.25,31.25,-0.33726802
2008-02-15,-5.25,31.25,1.507592
2008-03-16,-5.25,31.25,-1.1581138
2008-04-16,-5.25,31.25,-1.2571119
2008-05-16,-5.25,31.25,0.17392008
2008-06-16,-5.25,31.25,-1.8518339
2008-07-16,-5.25,31.25,-0.6358915
2008-08-16,-5.25,31.25,-0.3866899
2008-09-16,-5.25,31.25,2.084514
2008-10-16,-5.25,31.25,1.3153706
2008-11-16,-5.25,31.25,0.15370989
2008-12-16,-5.25,31.25,0.3108425
2009-01-16,-5.25,31.25,0.4295816
2009-02-15,-5.25,31.25,0.83668715
2009-03-16,-5.25,31.25,1.1509755
2009-04-16,-5.25,31.25,-0.9976006
2009-05-16,-5.25,31.25,-1.8932797
2009-06-16,-5.25,31.25,0.37828732
2009-07-16,-5.25,31.25,-0.60887694
2009-08-16,-5.25,31.25,-2.0320199
2009-09-16,-5.25,31.25,1.712211
2009-10-16,-5.25,31.25,-1.3583755
2009-11-16,-5.25,31.25,-1.5128512
2009-12-16,-5.25,31.25,-0.037809018
2010-01-16,-5.25,31.25,1.05417
2010-02-15,-5.25,31.25,2.0027645
2010-03-16,-5.25,31.25,0.4049255
2010-04-16,-5.25,31.25,-0.789271
2010-05-16,-5.25,31.25,-0.9251749
2010-06-16,-5.25,31.25,-1.2838
2010-07-16,-5.25,31.25,2.1251097
2010-08-16,-5.25,31.25,1.453523
2010-09-16,-5.25,31.25,-0.03330051
2010-10-16,-5.25,31.25,0.3583935
2010-11-16,-5.25,31.25,-0.14703993
2010-12-16,-5.25,31.25,-0.13694093
2011-01-16,-5.25,31.25,-0.62071335
2011-02-15,-5.25,31.25,-1.2978007
2011-03-16,-5.25,31.25,0.87019914
2011-04-16,-5.25,31.25,0.29119277
2011-05-16,-5.25,31.25,2.0640686
2011-06-16,-5.25,31.25,0.026533334
2011-07-16,-5.25,31.25,-0.60887766
2011-08-16,-5.25,31.25,1.7138296
2011-09-16,-5.25,31.25,-1.5273844
2011-10-16,-5.25,31.25,0.14731193
2011-11-16,-5.25,31.25,1.4600124
2011-12-16,-5.25,31.25,-1.3926314
2012-01-16,-5.25,31.25,-0.8999786
2012-02-15,-5.25,31.25,-1.0613806
2012-03-16,-5.25,31.25,1.6243423
2012-04-16,-5.25,31.25,1.3252035
2012-05-16,-5.25,31.25,-1.9985762
2012-06-16,-5.25,31.25,-1.0508476
2012-07-16,-5.25,31.25,-0.7431093
2012-08-16,-5.25,31.25,-0.8624888
2012-09-16,-5.25,31.25,1.6023171
2012-10-16,-5.25,31.25,1.2557659
2012-11-16,-5.25,31.25,0.96240556
2012-12-16,-5.25,31.25,-1.5924662
2013-01-16,-5.25,31.25,-1.1966186
2013-02-15,-5.25,31.25,-1.4435308
2013-03-16,-5.25,31.25,1.6027592
2013-04-16,-5.25,31.25,-1.0101147
2013-05-16,-5.25,31.25,-1.0611675
2013-06-16,-5.25,31.25,-1.1880103
2013-07-16,-5.25,31.25,-1.0041673
2013-08-16,-5.25,31.25,-1.5234026
2013-09-16,-5.25,31.25,0.83122855
2013-10-16,-5.25,31.25,-1.6623605
2013-11-16,-5.25,31.25,-1.3428619
2013-12-16,-5.25,31.25,-0.2880994
2014-01-16,-5.25,31.25,0.7211612
2014-02-15,-5.25,31.25,-0.98182356
2014-03-16,-5.25,31.25,-1.2160895
2014-04-16,-5.25,31.25,-1.6608196
2014-05-16,-5.25,31.25,-0.8272621
2014-06-16,-5.25,31.25,-1.1388718
2014-07-16,-5.25,31.25,-0.4727406
2014-08-16,-5.25,31.25,1.0169848
2014-09-16,-5.25,31.25,0.40124545
2014-10-16,-5.25,31.25,-1.4286305
2014-11-16,-5.25,31.25,2.2970119
2014-12-16,-5.25,31.25,-1.4093984
2015-01-16,-5.25,31.25,-0.11830582
2015-02-15,-5.25,31.25,0.34676751
2015-03-16,-5.25,31.25,-0.56182724
2015-04-16,-5.25,31.25,-0.9976008
2015-05-16,-5.25,31.25,-1.3846241
2015-06-16,-5.25,31.25,-1.410246
2015-07-16,-5.25,31.25,-1.0041666
2015-08-16,-5.25,31.25,2.0313735
2015-09-16,-5.25,31.25,1.7782886
2015-10-16,-5.25,31.25,-0.8451256
2015-11-16,-5.25,31.25,-1.5688334
2015-12-16,-5.25,31.25,-1.740403
2016-01-16,-5.25,31.25,-1.532895
2016-02-15,-5.25,31.25,-0.8018774
2016-03-16,-5.25,31.25,-1.1362752
2016-04-16,-5.25,31.25,-1.5677294
2016-05-16,-5.25,31.25,0.20157617
2016-06-16,-5.25,31.25,-1.6562121
2016-07-16,-5.25,31.25,-0.44533035
2016-08-16,-5.25,31.25,0.35561
2016-09-16,-5.25,31.25,-0.77226144
2016-10-16,-5.25,31.25,-0.9565642
2016-11-16,-5.25,31.25,0.80382043
2016-12-16,-5.25,31.25,1.4843392
2017-01-16,-5.25,31.25,-1.1374046
2017-02-15,-5.25,31.25,0.96109414
2017-03-16,-5.25,31.25,-1.4510585
2017-04-16,-5.25,31.25,-1.3419509
2017-05-16,-5.25,31.25,-1.6517687
2017-06-16,-5.25,31.25,-1.2720068
2017-07-16,-5.25,31.25,-1.5590612
2017-08-16,-5.25,31.25,0.15840168
2017-09-16,-5.25,31.25,-1.6970946
2017-10-16,-5.25,31.25,-1.3647767
2017-11-16,-5.25,31.25,-1.3998643
2017-12-16,-5.25,31.25,-1.0017953
2018-01-16,-5.25,31.25,1.2106814
2018-02-15,-5.25,31.25,0.12034783
2018-03-16,-5.25,31.25,0.09543498
2018-04-16,-5.25,31.25,1.0179224
2018-05-16,-5.25,31.25,1.4875728
2018-06-16,-5.25,31.25,-1.212267
2018-07-16,-5.25,31.25,0.32271102
2018-08-16,-5.25,31.25,1.9353606
2018-09-16,-5.25,31.25,1.0381879
2018-10-16,-5.25,31.25,1.4551939
2018-11-16,-5.25,31.25,0.3455269
2018-12-16,-5.25,31.25,-1.9191338
2019-01-16,-5.25,31.25,-1.6745912
2019-02-15,-5.25,31.25,-1.317327
2019-03-16,-5.25,31.25,-0.07298776
2019-04-16,-5.25,31.25,-0.39256513
2019-05-16,-5.25,31.25,-0.6597836
2019-06-16,-5.25,31.25,-1.8043967
2019-07-16,-5.25,31.25,0.1608211
2019-08-16,-5.25,31.25,0.22556597
2019-09-16,-5.25,31.25,-0.8781042
2019-10-16,-5.25,31.25,-1.2297698
2019-11-16,-5.25,31.25,-1.1553469
2019-12-16,-5.25,31.25,-0.04601298
2020-01-16,-5.25,31.25,-0.5618581
2020-02-15,-5.25,31.25,-1.7581937
2020-03-16,-5.25,31.25,0.037283897
2020-04-16,-5.25,31.25,-0.22665752
2020-05-16,-5.25,31.25,-1.7419976
2020-06-16,-5.25,31.25,-1.2001648
2020-07-16,-5.25,31.25,-1.3019516
2020-08-16,-5.25,31.25,1.2388026
2020-09-16,-5.25,31.25,-0.6311734
2020-10-16,-5.25,31.25,-1.2233115
2020-11-16,-5.25,31.25,-0.80896854
2020-12-16,-5.25,31.25,-0.8036146
2021-01-16,-5.25,31.25,0.6511453
2021-02-15,-5.25,31.25,0.626025
2021-03-16,-5.25,31.25,-0.16965249
2021-04-16,-5.25,31.25,-0.75107855
2021-05-16,-5.25,31.25,-1.2242105
2021-06-16,-5.25,31.25,-0.6868933
2021-07-16,-5.25,31.25,-1.6265877
2021-08-16,-5.25,31.25,-1.3772546
2021-09-16,-5.25,31.25,-1.0306094
2021-10-16,-5.25,31.25,-1.9354072
2021-11-16,-5.25,31.25,-0.6896005
2021-12-16,-5.25,31.25,-0.6135827
