date,lon,lat,SPEI
2000-01-16,-4.75,34.25,-1.0402714
2000-02-15,-4.75,34.25,-2.0144532
2000-03-16,-4.75,34.25,-1.9598606
2000-04-16,-4.75,34.25,0.8383593
2000-05-16,-4.75,34.25,0.41152164
2000-06-16,-4.75,34.25,-1.3361847
2000-07-16,-4.75,34.25,-0.86587745
2000-08-16,-4.75,34.25,-0.552018
2000-09-16,-4.75,34.25,-0.19089845
2000-10-16,-4.75,34.25,1.4083966
2000-11-16,-4.75,34.25,-0.41404957
2000-12-16,-4.75,34.25,1.2774332
2001-01-16,-4.75,34.25,0.33766386
2001-02-15,-4.75,34.25,-0.762913
2001-03-16,-4.75,34.25,-1.2961652
2001-04-16,-4.75,34.25,-2.1201851
2001-05-16,-4.75,34.25,-0.12705155
2001-06-16,-4.75,34.25,-2.1766098
2001-07-16,-4.75,34.25,0.0051117297
2001-08-16,-4.75,34.25,0.37569332
2001-09-16,-4.75,34.25,0.8300095
2001-10-16,-4.75,34.25,-0.1894731
2001-11-16,-4.75,34.25,-0.6674878
2001-12-16,-4.75,34.25,1.4320376
2002-01-16,-4.75,34.25,-1.7015895
2002-02-15,-4.75,34.25,-1.3301727
2002-03-16,-4.75,34.25,0.020223359
2002-04-16,-4.75,34.25,1.122666
2002-05-16,-4.75,34.25,0.2576183
2002-06-16,-4.75,34.25,-0.1094889
2002-07-16,-4.75,34.25,0.8303927
2002-08-16,-4.75,34.25,0.2138733
2002-09-16,-4.75,34.25,-0.3592539
2002-10-16,-4.75,34.25,0.18417233
2002-11-16,-4.75,34.25,1.7881651
2002-12-16,-4.75,34.25,-0.6232825
2003-01-16,-4.75,34.25,0.65649444
2003-02-15,-4.75,34.25,0.074502975
2003-03-16,-4.75,34.25,-0.1782157
2003-04-16,-4.75,34.25,-0.31154308
2003-05-16,-4.75,34.25,-1.4928613
2003-06-16,-4.75,34.25,-1.4119371
2003-07-16,-4.75,34.25,-1.5364401
2003-08-16,-4.75,34.25,-1.6073327
2003-09-16,-4.75,34.25,-1.4705821
2003-10-16,-4.75,34.25,1.7716913
2003-11-16,-4.75,34.25,1.021099
2003-12-16,-4.75,34.25,1.1698136
2004-01-16,-4.75,34.25,-1.4777623
2004-02-15,-4.75,34.25,-0.61256003
2004-03-16,-4.75,34.25,-0.47564766
2004-04-16,-4.75,34.25,-0.11606887
2004-05-16,-4.75,34.25,1.0255384
2004-06-16,-4.75,34.25,-1.7301663
