date,lon,lat,SPEI
2000-01-16,-9.75,28.75,-0.66770107
2000-02-15,-9.75,28.75,-1.2821642
2000-03-16,-9.75,28.75,-1.3261719
2000-04-16,-9.75,28.75,0.36819324
2000-05-16,-9.75,28.75,-0.69615936
2000-06-16,-9.75,28.75,-0.29515192
2000-07-16,-9.75,28.75,-0.033513505
2000-08-16,-9.75,28.75,-0.6464135
2000-09-16,-9.75,28.75,-1.8013543
2000-10-16,-9.75,28.75,-0.47100875
2000-11-16,-9.75,28.75,-1.1924521
2000-12-16,-9.75,28.75,1.1042604
2001-01-16,-9.75,28.75,-0.6218366
2001-02-15,-9.75,28.75,-1.5400131
2001-03-16,-9.75,28.75,-1.695895
2001-04-16,-9.75,28.75,-1.1550502
2001-05-16,-9.75,28.75,-0.51822954
2001-06-16,-9.75,28.75,-1.7817929
2001-07-16,-9.75,28.75,-0.079705864
2001-08-16,-9.75,28.75,-1.2968613
2001-09-16,-9.75,28.75,0.26211476
2001-10-16,-9.75,28.75,-1.493625
2001-11-16,-9.75,28.75,-0.8361167
2001-12-16,-9.75,28.75,1.0221953
2002-01-16,-9.75,28.75,-1.518343
2002-02-15,-9.75,28.75,-1.1926314
2002-03-16,-9.75,28.75,2.346092
2002-04-16,-9.75,28.75,1.716513
2002-05-16,-9.75,28.75,-0.25749177
2002-06-16,-9.75,28.75,-0.35336843
2002-07-16,-9.75,28.75,0.79218763
2002-08-16,-9.75,28.75,1.4736378
2002-09-16,-9.75,28.75,-1.825242
2002-10-16,-9.75,28.75,-2.0410523
2002-11-16,-9.75,28.75,1.0907631
2002-12-16,-9.75,28.75,0.37452683
2003-01-16,-9.75,28.75,-1.5836997
2003-02-15,-9.75,28.75,-0.5543279
2003-03-16,-9.75,28.75,0.41426706
2003-04-16,-9.75,28.75,-0.21124993
2003-05-16,-9.75,28.75,-1.6896172
2003-06-16,-9.75,28.75,-0.56239843
2003-07-16,-9.75,28.75,-0.54377985
2003-08-16,-9.75,28.75,-1.5193105
2003-09-16,-9.75,28.75,-0.9743277
2003-10-16,-9.75,28.75,0.9541709
2003-11-16,-9.75,28.75,0.7308564
2003-12-16,-9.75,28.75,0.101696216
2004-01-16,-9.75,28.75,-1.8539767
2004-02-15,-9.75,28.75,0.9390407
2004-03-16,-9.75,28.75,0.93111837
2004-04-16,-9.75,28.75,-0.83733755
2004-05-16,-9.75,28.75,0.9904993
2004-06-16,-9.75,28.75,-1.2622219
2004-07-16,-9.75,28.75,-0.14920595
2004-08-16,-9.75,28.75,0.10758401
2004-09-16,-9.75,28.75,-0.3360373
2004-10-16,-9.75,28.75,0.32467824
2004-11-16,-9.75,28.75,0.22713417
2004-12-16,-9.75,28.75,0.0947992
2005-01-16,-9.75,28.75,-1.4967343
2005-02-15,-9.75,28.75,1.0068952
2005-03-16,-9.75,28.75,-0.23937963
2005-04-16,-9.75,28.75,-0.7771672
2005-05-16,-9.75,28.75,-2.3070269
2005-06-16,-9.75,28.75,-1.3682275
2005-07-16,-9.75,28.75,0.6501158
2005-08-16,-9.75,28.75,-1.1526544
2005-09-16,-9.75,28.75,-1.0913969
2005-10-16,-9.75,28.75,0.15664218
2005-11-16,-9.75,28.75,-0.023706898
2005-12-16,-9.75,28.75,0.95315534
2006-01-16,-9.75,28.75,1.9479344
2006-02-15,-9.75,28.75,0.2530451
2006-03-16,-9.75,28.75,-1.8982816
2006-04-16,-9.75,28.75,-1.3039225
2006-05-16,-9.75,28.75,-0.90977997
2006-06-16,-9.75,28.75,-0.6730332
2006-07-16,-9.75,28.75,-1.3986207
2006-08-16,-9.75,28.75,-1.2352998
2006-09-16,-9.75,28.75,-1.0913969
2006-10-16,-9.75,28.75,0.6362518
2006-11-16,-9.75,28.75,-0.73410255
2006-12-16,-9.75,28.75,-1.1648794
2007-01-16,-9.75,28.75,-0.6309712
2007-02-15,-9.75,28.75,-0.5358819
2007-03-16,-9.75,28.75,-1.6395404
2007-04-16,-9.75,28.75,-0.5754518
2007-05-16,-9.75,28.75,-1.2163907
2007-06-16,-9.75,28.75,-0.35336843
2007-07-16,-9.75,28.75,-1.419044
2007-08-16,-9.75,28.75,0.38130406
2007-09-16,-9.75,28.75,-1.6584197
2007-10-16,-9.75,28.75,-1.4543122
2007-11-16,-9.75,28.75,-0.6235688
2007-12-16,-9.75,28.75,-1.0606447
2008-01-16,-9.75,28.75,-0.8654689
2008-02-15,-9.75,28.75,-0.56359154
2008-03-16,-9.75,28.75,-1.7528712
2008-04-16,-9.75,28.75,-1.4289153
2008-05-16,-9.75,28.75,-0.7397024
2008-06-16,-9.75,28.75,-1.3533177
2008-07-16,-9.75,28.75,0.32879782
2008-08-16,-9.75,28.75,-2.175517
2008-09-16,-9.75,28.75,1.4135507
2008-10-16,-9.75,28.75,1.2678835
2008-11-16,-9.75,28.75,0.21106778
2008-12-16,-9.75,28.75,0.060030483
2009-01-16,-9.75,28.75,0.51444805
2009-02-15,-9.75,28.75,2.2435575
2009-03-16,-9.75,28.75,-0.37915027
2009-04-16,-9.75,28.75,-0.6935385
2009-05-16,-9.75,28.75,-1.6896172
2009-06-16,-9.75,28.75,-1.3533174
2009-07-16,-9.75,28.75,-0.7270377
2009-08-16,-9.75,28.75,-1.8913783
2009-09-16,-9.75,28.75,0.41098166
2009-10-16,-9.75,28.75,-1.1510543
2009-11-16,-9.75,28.75,-1.9228531
2009-12-16,-9.75,28.75,1.8560184
2010-01-16,-9.75,28.75,1.0588726
2010-02-15,-9.75,28.75,1.4610809
2010-03-16,-9.75,28.75,-0.5358225
2010-04-16,-9.75,28.75,-0.9586496
2010-05-16,-9.75,28.75,-0.59306735
2010-06-16,-9.75,28.75,0.9268595
2010-07-16,-9.75,28.75,-0.52069527
2010-08-16,-9.75,28.75,-1.5790669
2010-09-16,-9.75,28.75,-0.2704443
2010-10-16,-9.75,28.75,-0.2395816
2010-11-16,-9.75,28.75,1.5347749
2010-12-16,-9.75,28.75,0.6848421
2011-01-16,-9.75,28.75,0.91280544
2011-02-15,-9.75,28.75,-1.4559932
2011-03-16,-9.75,28.75,0.79744476
2011-04-16,-9.75,28.75,2.035688
2011-05-16,-9.75,28.75,-0.83972836
2011-06-16,-9.75,28.75,-1.3533177
2011-07-16,-9.75,28.75,-0.079705864
2011-08-16,-9.75,28.75,0.47493634
2011-09-16,-9.75,28.75,-1.753639
2011-10-16,-9.75,28.75,-0.24929722
2011-11-16,-9.75,28.75,-0.25755534
2011-12-16,-9.75,28.75,-2.000526
2012-01-16,-9.75,28.75,0.04302564
2012-02-15,-9.75,28.75,-0.92570686
2012-03-16,-9.75,28.75,0.33952248
2012-04-16,-9.75,28.75,0.36819294
2012-05-16,-9.75,28.75,-0.9649605
2012-06-16,-9.75,28.75,-2.1831481
2012-07-16,-9.75,28.75,-0.033513505
2012-08-16,-9.75,28.75,-1.027566
2012-09-16,-9.75,28.75,0.6367158
2012-10-16,-9.75,28.75,1.8880543
2012-11-16,-9.75,28.75,-0.73410225
2012-12-16,-9.75,28.75,-1.9557098
2013-01-16,-9.75,28.75,-0.20685774
2013-02-15,-9.75,28.75,-0.7447933
2013-03-16,-9.75,28.75,-0.05526168
2013-04-16,-9.75,28.75,-1.4038501
2013-05-16,-9.75,28.75,-0.06924245
2013-06-16,-9.75,28.75,0.60027695
2013-07-16,-9.75,28.75,-0.3816441
2013-08-16,-9.75,28.75,-0.2218642
2013-09-16,-9.75,28.75,0.30003664
2013-10-16,-9.75,28.75,-0.31819195
2013-11-16,-9.75,28.75,-0.7951438
2013-12-16,-9.75,28.75,0.25513965
2014-01-16,-9.75,28.75,0.39634562
2014-02-15,-9.75,28.75,-1.1051525
2014-03-16,-9.75,28.75,-0.58171964
2014-04-16,-9.75,28.75,-0.22226442
2014-05-16,-9.75,28.75,-0.037669018
2014-06-16,-9.75,28.75,-0.65477437
2014-07-16,-9.75,28.75,-0.05659335
2014-08-16,-9.75,28.75,0.60202837
2014-09-16,-9.75,28.75,1.4135518
2014-10-16,-9.75,28.75,-0.26882344
2014-11-16,-9.75,28.75,1.2312618
2014-12-16,-9.75,28.75,-0.032589313
2015-01-16,-9.75,28.75,0.028050892
2015-02-15,-9.75,28.75,-0.6865007
2015-03-16,-9.75,28.75,-0.7942366
2015-04-16,-9.75,28.75,-0.32253328
2015-05-16,-9.75,28.75,-0.99225956
2015-06-16,-9.75,28.75,-0.6180376
2015-07-16,-9.75,28.75,-1.6188442
2015-08-16,-9.75,28.75,-0.15907274
2015-09-16,-9.75,28.75,0.8123261
2015-10-16,-9.75,28.75,-0.42956993
2015-11-16,-9.75,28.75,-1.7970457
2015-12-16,-9.75,28.75,-0.45131308
2016-01-16,-9.75,28.75,-0.47833505
2016-02-15,-9.75,28.75,-1.3277348
2016-03-16,-9.75,28.75,-0.9535786
2016-04-16,-9.75,28.75,-0.729288
2016-05-16,-9.75,28.75,-0.3966218
2016-06-16,-9.75,28.75,-1.1363032
2016-07-16,-9.75,28.75,-0.8846726
2016-08-16,-9.75,28.75,-0.92242324
2016-09-16,-9.75,28.75,-0.9509816
2016-10-16,-9.75,28.75,-0.19147839
2016-11-16,-9.75,28.75,0.3976214
2016-12-16,-9.75,28.75,0.06003043
2017-01-16,-9.75,28.75,0.057914916
2017-02-15,-9.75,28.75,-0.67688197
2017-03-16,-9.75,28.75,-1.3261725
2017-04-16,-9.75,28.75,-1.6815033
2017-05-16,-9.75,28.75,-0.053460583
2017-06-16,-9.75,28.75,-1.9064841
2017-07-16,-9.75,28.75,-0.77236986
2017-08-16,-9.75,28.75,-0.24287486
2017-09-16,-9.75,28.75,-1.0445064
2017-10-16,-9.75,28.75,-0.5235046
2017-11-16,-9.75,28.75,-0.9394707
2017-12-16,-9.75,28.75,0.22916329
2018-01-16,-9.75,28.75,0.37057573
2018-02-15,-9.75,28.75,-0.5822006
2018-03-16,-9.75,28.75,-0.9910272
2018-04-16,-9.75,28.75,-0.4362135
2018-05-16,-9.75,28.75,0.23122612
2018-06-16,-9.75,28.75,-0.058411736
2018-07-16,-9.75,28.75,-0.05659335
2018-08-16,-9.75,28.75,0.006220785
2018-09-16,-9.75,28.75,-0.3140929
2018-10-16,-9.75,28.75,0.42953905
2018-11-16,-9.75,28.75,0.2668858
2018-12-16,-9.75,28.75,-0.42664668
2019-01-16,-9.75,28.75,-0.01738884
2019-02-15,-9.75,28.75,-1.2821637
2019-03-16,-9.75,28.75,-0.8917259
2019-04-16,-9.75,28.75,0.013679943
2019-05-16,-9.75,28.75,0.24700822
2019-06-16,-9.75,28.75,-0.058411736
2019-07-16,-9.75,28.75,-2.0316465
2019-08-16,-9.75,28.75,0.28541204
2019-09-16,-9.75,28.75,-0.40232223
2019-10-16,-9.75,28.75,-0.033853296
2019-11-16,-9.75,28.75,-1.0968077
2019-12-16,-9.75,28.75,0.34374353
2020-01-16,-9.75,28.75,-0.048110913
2020-02-15,-9.75,28.75,-1.9670669
2020-03-16,-9.75,28.75,-1.2733567
2020-04-16,-9.75,28.75,-0.8615003
2020-05-16,-9.75,28.75,-0.54827875
2020-06-16,-9.75,28.75,-1.1841274
2020-07-16,-9.75,28.75,0.481419
2020-08-16,-9.75,28.75,-0.2639219
2020-09-16,-9.75,28.75,-1.8491514
2020-10-16,-9.75,28.75,-0.2884762
2020-11-16,-9.75,28.75,0.31380704
2020-12-16,-9.75,28.75,-0.05441886
2021-01-16,-9.75,28.75,0.2299392
2021-02-15,-9.75,28.75,-0.52669924
2021-03-16,-9.75,28.75,-0.86718255
2021-04-16,-9.75,28.75,-1.1057117
2021-05-16,-9.75,28.75,-0.08501361
2021-06-16,-9.75,28.75,0.5609549
2021-07-16,-9.75,28.75,1.4205574
2021-08-16,-9.75,28.75,-0.34842825
2021-09-16,-9.75,28.75,-0.99769807
2021-10-16,-9.75,28.75,-0.33816013
2021-11-16,-9.75,28.75,2.6056852
2021-12-16,-9.75,28.75,-0.025350727
2022-01-16,-9.75,28.75,0.40273812
2022-02-15,-9.75,28.75,-0.66729057
2022-03-16,-9.75,28.75,-0.5017261
2022-04-16,-9.75,28.75,-0.6224785
2022-05-16,-9.75,28.75,-0.48803297
2022-06-16,-9.75,28.75,0.12171712
2022-07-16,-9.75,28.75,0.8120424
2022-08-16,-9.75,28.75,0.87432224
2022-09-16,-9.75,28.75,-0.85786915
2022-10-16,-9.75,28.75,-0.4919142
2022-11-16,-9.75,28.75,-1.8768704
2022-12-16,-9.75,28.75,0.045990307
2023-01-16,-9.75,28.75,-0.44325188
2023-02-15,-9.75,28.75,0.91712964
2023-03-16,-9.75,28.75,-2.1257641
2023-04-16,-9.75,28.75,-1.6433773
2023-05-16,-9.75,28.75,-0.53327256
2023-06-16,-9.75,28.75,-2.3623981
2023-07-16,-9.75,28.75,-1.9955233
2023-08-16,-9.75,28.75,-0.88017094
2023-09-16,-9.75,28.75,-1.5634369
2023-10-16,-9.75,28.75,-0.32816005
2023-11-16,-9.75,28.75,-1.5287484
2023-12-16,-9.75,28.75,-0.15098459
2024-01-16,-9.75,28.75,-0.77027035
2024-02-15,-9.75,28.75,-1.4088396
2024-03-16,-9.75,28.75,-0.74618244
2024-04-16,-9.75,28.75,-1.6180091
2024-05-16,-9.75,28.75,-0.563247
2024-06-16,-9.75,28.75,-0.038470335
2024-07-16,-9.75,28.75,-1.125755
2024-08-16,-9.75,28.75,-0.92242324
2024-09-16,-9.75,28.75,2.4430683
2024-10-16,-9.75,28.75,-0.05192301
2024-11-16,-9.75,28.75,-0.32294554
2024-12-16,-9.75,28.75,-0.08379038
