date,lon,lat,SPEI
2000-01-16,-13.25,27.25,1.2353693
2000-02-15,-13.25,27.25,-1.2218426
2000-03-16,-13.25,27.25,-1.867357
2000-04-16,-13.25,27.25,-0.44497284
2000-05-16,-13.25,27.25,0.20316875
2000-06-16,-13.25,27.25,-1.866383
2000-07-16,-13.25,27.25,-0.5300829
2000-08-16,-13.25,27.25,-1.0002049
2000-09-16,-13.25,27.25,-1.3752211
2000-10-16,-13.25,27.25,0.222376
2000-11-16,-13.25,27.25,-0.877127
2000-12-16,-13.25,27.25,-1.3755939
2001-01-16,-13.25,27.25,-1.8362224
2001-02-15,-13.25,27.25,-1.4061975
2001-03-16,-13.25,27.25,-1.878913
2001-04-16,-13.25,27.25,-1.4736145
2001-05-16,-13.25,27.25,-1.1646518
2001-06-16,-13.25,27.25,-2.290443
2001-07-16,-13.25,27.25,-0.54961723
2001-08-16,-13.25,27.25,-1.0486532
2001-09-16,-13.25,27.25,-0.27162662
2001-10-16,-13.25,27.25,-1.4856745
2001-11-16,-13.25,27.25,1.8280135
2001-12-16,-13.25,27.25,-0.3750867
2002-01-16,-13.25,27.25,0.26920882
2002-02-15,-13.25,27.25,-1.5884415
2002-03-16,-13.25,27.25,-0.9556396
2002-04-16,-13.25,27.25,0.38036922
2002-05-16,-13.25,27.25,-0.7610904
2002-06-16,-13.25,27.25,-0.51748747
2002-07-16,-13.25,27.25,0.6725812
2002-08-16,-13.25,27.25,1.4067601
2002-09-16,-13.25,27.25,-0.8929383
2002-10-16,-13.25,27.25,-1.8446312
2002-11-16,-13.25,27.25,-1.1313885
2002-12-16,-13.25,27.25,1.7348999
2003-01-16,-13.25,27.25,1.116868
2003-02-15,-13.25,27.25,-0.023702877
2003-03-16,-13.25,27.25,-1.3935795
2003-04-16,-13.25,27.25,-0.40351248
2003-05-16,-13.25,27.25,-1.7597407
2003-06-16,-13.25,27.25,-1.3022078
2003-07-16,-13.25,27.25,-1.1086398
2003-08-16,-13.25,27.25,-1.0486532
2003-09-16,-13.25,27.25,-2.2242317
2003-10-16,-13.25,27.25,0.7539661
2003-11-16,-13.25,27.25,0.28900692
2003-12-16,-13.25,27.25,-0.40613788
2004-01-16,-13.25,27.25,-0.97853005
2004-02-15,-13.25,27.25,0.5604422
2004-03-16,-13.25,27.25,-0.3585313
2004-04-16,-13.25,27.25,0.7936456
2004-05-16,-13.25,27.25,1.2784114
2004-06-16,-13.25,27.25,-1.866383
2004-07-16,-13.25,27.25,-1.1086398
2004-08-16,-13.25,27.25,-0.49309614
2004-09-16,-13.25,27.25,-0.8418312
2004-10-16,-13.25,27.25,-0.98040515
2004-11-16,-13.25,27.25,0.65120244
2004-12-16,-13.25,27.25,0.7793679
2005-01-16,-13.25,27.25,0.3558712
2005-02-15,-13.25,27.25,2.4128506
2005-03-16,-13.25,27.25,0.21659166
2005-04-16,-13.25,27.25,-1.2547989
2005-05-16,-13.25,27.25,-1.4852456
2005-06-16,-13.25,27.25,-1.6062654
2005-07-16,-13.25,27.25,0.08860802
2005-08-16,-13.25,27.25,-1.0486532
2005-09-16,-13.25,27.25,-1.0922744
2005-10-16,-13.25,27.25,-0.38583556
2005-11-16,-13.25,27.25,1.8621422
2005-12-16,-13.25,27.25,0.27098972
2006-01-16,-13.25,27.25,1.7210618
2006-02-15,-13.25,27.25,0.8036438
2006-03-16,-13.25,27.25,-0.99680936
2006-04-16,-13.25,27.25,-0.7735897
2006-05-16,-13.25,27.25,-0.77436316
2006-06-16,-13.25,27.25,-0.024264602
2006-07-16,-13.25,27.25,-1.1086398
2006-08-16,-13.25,27.25,0.11167423
2006-09-16,-13.25,27.25,-0.68570155
2006-10-16,-13.25,27.25,-0.8833085
2006-11-16,-13.25,27.25,-0.39445937
2006-12-16,-13.25,27.25,-0.5637532
2007-01-16,-13.25,27.25,1.8650298
2007-02-15,-13.25,27.25,-1.3572365
2007-03-16,-13.25,27.25,0.10344534
2007-04-16,-13.25,27.25,0.41104704
2007-05-16,-13.25,27.25,0.23716122
2007-06-16,-13.25,27.25,-0.51748747
2007-07-16,-13.25,27.25,-0.5300829
2007-08-16,-13.25,27.25,0.71316075
2007-09-16,-13.25,27.25,-0.34477115
2007-10-16,-13.25,27.25,-0.6292946
2007-11-16,-13.25,27.25,-0.60169697
2007-12-16,-13.25,27.25,0.21811879
2008-01-16,-13.25,27.25,-1.318792
2008-02-15,-13.25,27.25,-0.300513
2008-03-16,-13.25,27.25,-0.6038822
2008-04-16,-13.25,27.25,-1.306402
2008-05-16,-13.25,27.25,-0.31633458
2008-06-16,-13.25,27.25,-0.94280976
2008-07-16,-13.25,27.25,-1.1086398
2008-08-16,-13.25,27.25,-1.4924512
2008-09-16,-13.25,27.25,1.8891197
2008-10-16,-13.25,27.25,1.7672728
2008-11-16,-13.25,27.25,0.6797509
2008-12-16,-13.25,27.25,1.187436
2009-01-16,-13.25,27.25,0.84852624
2009-02-15,-13.25,27.25,0.37200558
2009-03-16,-13.25,27.25,0.5314359
2009-04-16,-13.25,27.25,-0.10274209
2009-05-16,-13.25,27.25,-1.1646518
2009-06-16,-13.25,27.25,-0.94280976
2009-07-16,-13.25,27.25,-2.069296
2009-08-16,-13.25,27.25,-1.0486532
2009-09-16,-13.25,27.25,1.104018
2009-10-16,-13.25,27.25,-1.9161633
2009-11-16,-13.25,27.25,-1.4934138
2009-12-16,-13.25,27.25,-0.46872836
2010-01-16,-13.25,27.25,0.4407563
2010-02-15,-13.25,27.25,0.115941845
2010-03-16,-13.25,27.25,-1.494589
2010-04-16,-13.25,27.25,-1.306402
2010-05-16,-13.25,27.25,0.22014816
2010-06-16,-13.25,27.25,-0.024264602
2010-07-16,-13.25,27.25,-0.5300829
2010-08-16,-13.25,27.25,-1.0325887
2010-09-16,-13.25,27.25,0.059307586
2010-10-16,-13.25,27.25,0.46373126
2010-11-16,-13.25,27.25,0.07921417
2010-12-16,-13.25,27.25,-1.46091
2011-01-16,-13.25,27.25,0.51007223
2011-02-15,-13.25,27.25,-0.88574094
2011-03-16,-13.25,27.25,0.8262915
2011-04-16,-13.25,27.25,-0.37564647
2011-05-16,-13.25,27.25,-0.31633458
2011-06-16,-13.25,27.25,-1.3022078
2011-07-16,-13.25,27.25,0.06857212
2011-08-16,-13.25,27.25,-0.51169264
2011-09-16,-13.25,27.25,-0.8589215
2011-10-16,-13.25,27.25,-1.1171042
2011-11-16,-13.25,27.25,-0.4807321
2011-12-16,-13.25,27.25,-1.307614
2012-01-16,-13.25,27.25,-1.3035635
2012-02-15,-13.25,27.25,0.20683686
2012-03-16,-13.25,27.25,-1.494589
2012-04-16,-13.25,27.25,1.0194267
2012-05-16,-13.25,27.25,-1.7597407
2012-06-16,-13.25,27.25,-0.94280976
2012-07-16,-13.25,27.25,-1.6207275
2012-08-16,-13.25,27.25,-1.4924512
2012-09-16,-13.25,27.25,-1.2985833
2012-10-16,-13.25,27.25,0.39782986
2012-11-16,-13.25,27.25,0.54924554
2012-12-16,-13.25,27.25,-1.7888763
2013-01-16,-13.25,27.25,-1.7930303
2013-02-15,-13.25,27.25,-0.72292995
2013-03-16,-13.25,27.25,-0.45991045
2013-04-16,-13.25,27.25,-1.5844526
2013-05-16,-13.25,27.25,-0.30094334
2013-06-16,-13.25,27.25,-1.6062654
2013-07-16,-13.25,27.25,-1.1086398
2013-08-16,-13.25,27.25,-1.4650569
2013-09-16,-13.25,27.25,-0.63279194
2013-10-16,-13.25,27.25,-1.0490648
2013-11-16,-13.25,27.25,-0.7052885
2013-12-16,-13.25,27.25,1.237599
2014-01-16,-13.25,27.25,-0.10821426
2014-02-15,-13.25,27.25,-0.11876639
2014-03-16,-13.25,27.25,-0.85862607
2014-04-16,-13.25,27.25,-1.4830703
2014-05-16,-13.25,27.25,-1.1534233
2014-06-16,-13.25,27.25,-0.51748747
2014-07-16,-13.25,27.25,0.08860802
2014-08-16,-13.25,27.25,-1.0486532
2014-09-16,-13.25,27.25,-0.65047336
2014-10-16,-13.25,27.25,-1.2379259
2014-11-16,-13.25,27.25,1.4077339
2014-12-16,-13.25,27.25,-0.0026917711
2015-01-16,-13.25,27.25,-0.6778688
2015-02-15,-13.25,27.25,0.011556584
2015-03-16,-13.25,27.25,0.13187143
2015-04-16,-13.25,27.25,-0.96730846
2015-05-16,-13.25,27.25,-1.9976468
2015-06-16,-13.25,27.25,-0.51748747
2015-07-16,-13.25,27.25,-2.4670923
2015-08-16,-13.25,27.25,0.73284686
2015-09-16,-13.25,27.25,0.13260636
2015-10-16,-13.25,27.25,0.19490433
2015-11-16,-13.25,27.25,-1.4772725
2015-12-16,-13.25,27.25,-2.2883725
2016-01-16,-13.25,27.25,-2.0913515
2016-02-15,-13.25,27.25,0.78498334
2016-03-16,-13.25,27.25,0.31422248
2016-04-16,-13.25,27.25,-0.96730846
2016-05-16,-13.25,27.25,-0.28549063
2016-06-16,-13.25,27.25,-1.6062654
2016-07-16,-13.25,27.25,-1.6207275
2016-08-16,-13.25,27.25,-1.8937413
2016-09-16,-13.25,27.25,-1.2046301
2016-10-16,-13.25,27.25,-0.17077741
2016-11-16,-13.25,27.25,-0.4980062
2016-12-16,-13.25,27.25,-0.6278045
2017-01-16,-13.25,27.25,-0.75737625
2017-02-15,-13.25,27.25,-0.118765905
2017-03-16,-13.25,27.25,-0.99680895
2017-04-16,-13.25,27.25,-2.0713103
2017-05-16,-13.25,27.25,-1.7515032
2017-06-16,-13.25,27.25,-2.0920308
2017-07-16,-13.25,27.25,-1.1086398
2017-08-16,-13.25,27.25,-1.8937413
2017-09-16,-13.25,27.25,-1.3903689
2017-10-16,-13.25,27.25,-1.8566151
2017-11-16,-13.25,27.25,-1.4611007
2017-12-16,-13.25,27.25,-0.34420475
2018-01-16,-13.25,27.25,0.59148765
2018-02-15,-13.25,27.25,1.8243943
2018-03-16,-13.25,27.25,-1.091864
2018-04-16,-13.25,27.25,0.12119341
2018-05-16,-13.25,27.25,0.68753296
2018-06-16,-13.25,27.25,-0.024264602
2018-07-16,-13.25,27.25,0.08860802
2018-08-16,-13.25,27.25,0.15190963
2018-09-16,-13.25,27.25,-1.8181587
2018-10-16,-13.25,27.25,1.1728286
2018-11-16,-13.25,27.25,0.013081067
2018-12-16,-13.25,27.25,-2.4745007
2019-01-16,-13.25,27.25,-0.24898359
2019-02-15,-13.25,27.25,-1.0605617
2019-03-16,-13.25,27.25,-0.99680895
2019-04-16,-13.25,27.25,-0.1321025
2019-05-16,-13.25,27.25,-2.3921645
2019-06-16,-13.25,27.25,-0.51748747
2019-07-16,-13.25,27.25,0.08860802
2019-08-16,-13.25,27.25,-1.0486532
2019-09-16,-13.25,27.25,-0.7729443
2019-10-16,-13.25,27.25,-0.7992619
2019-11-16,-13.25,27.25,-0.8428748
2019-12-16,-13.25,27.25,-0.82287097
2020-01-16,-13.25,27.25,-1.2883106
2020-02-15,-13.25,27.25,-2.1352718
2020-03-16,-13.25,27.25,0.04634841
2020-04-16,-13.25,27.25,-0.7484537
2020-05-16,-13.25,27.25,-1.7597407
2020-06-16,-13.25,27.25,-0.51748747
2020-07-16,-13.25,27.25,-2.069296
2020-08-16,-13.25,27.25,-1.5060381
2020-09-16,-13.25,27.25,-2.139275
2020-10-16,-13.25,27.25,-0.9111607
2020-11-16,-13.25,27.25,-0.8085588
2020-12-16,-13.25,27.25,-0.8557571
2021-01-16,-13.25,27.25,0.5374275
2021-02-15,-13.25,27.25,-0.4360452
2021-03-16,-13.25,27.25,-0.38752937
2021-04-16,-13.25,27.25,-0.8599535
2021-05-16,-13.25,27.25,-0.7875687
2021-06-16,-13.25,27.25,-0.94280976
2021-07-16,-13.25,27.25,-1.1086398
2021-08-16,-13.25,27.25,-1.0486532
2021-09-16,-13.25,27.25,-1.8315784
2021-10-16,-13.25,27.25,-1.9161633
2021-11-16,-13.25,27.25,-0.205857
2021-12-16,-13.25,27.25,-1.8063285
2022-01-16,-13.25,27.25,0.04555028
2022-02-15,-13.25,27.25,-0.64782685
2022-03-16,-13.25,27.25,0.20253544
2022-04-16,-13.25,27.25,-0.45870122
2022-05-16,-13.25,27.25,-1.9976468
2022-06-16,-13.25,27.25,-1.3022078
2022-07-16,-13.25,27.25,-1.6207275
2022-08-16,-13.25,27.25,-0.9838854
2022-09-16,-13.25,27.25,-0.43567562
2022-10-16,-13.25,27.25,-1.928
2022-11-16,-13.25,27.25,-2.5292742
2022-12-16,-13.25,27.25,-1.7192786
2023-01-16,-13.25,27.25,-0.3913066
2023-02-15,-13.25,27.25,0.9827992
2023-03-16,-13.25,27.25,-1.494589
