date,lon,lat,SPEI
2000-01-16,-7.75,31.75,-0.5253416
2000-02-15,-7.75,31.75,-1.9301022
2000-03-16,-7.75,31.75,-2.0178497
2000-04-16,-7.75,31.75,0.5975147
2000-05-16,-7.75,31.75,-0.60714096
2000-06-16,-7.75,31.75,-1.5025339
2000-07-16,-7.75,31.75,-1.1206688
2000-08-16,-7.75,31.75,-0.6294769
2000-09-16,-7.75,31.75,-0.6457193
2000-10-16,-7.75,31.75,0.2673261
2000-11-16,-7.75,31.75,-1.0379481
2000-12-16,-7.75,31.75,1.0847086
2001-01-16,-7.75,31.75,-0.17203654
2001-02-15,-7.75,31.75,-1.4794554
2001-03-16,-7.75,31.75,-1.3276292
2001-04-16,-7.75,31.75,-1.8318431
2001-05-16,-7.75,31.75,-0.7146027
2001-06-16,-7.75,31.75,-2.2223208
2001-07-16,-7.75,31.75,-0.044283863
2001-08-16,-7.75,31.75,-0.3033759
2001-09-16,-7.75,31.75,0.38163424
2001-10-16,-7.75,31.75,-0.78638124
2001-11-16,-7.75,31.75,-0.9516447
2001-12-16,-7.75,31.75,1.4398395
2002-01-16,-7.75,31.75,-1.7786872
2002-02-15,-7.75,31.75,-1.219304
2002-03-16,-7.75,31.75,1.8659253
2002-04-16,-7.75,31.75,1.3023793
2002-05-16,-7.75,31.75,-0.52297014
2002-06-16,-7.75,31.75,-0.35320747
2002-07-16,-7.75,31.75,-0.044283863
2002-08-16,-7.75,31.75,1.0959561
2002-09-16,-7.75,31.75,-1.2709198
2002-10-16,-7.75,31.75,-0.3369518
2002-11-16,-7.75,31.75,1.377069
2002-12-16,-7.75,31.75,0.24606314
2003-01-16,-7.75,31.75,-0.7789603
2003-02-15,-7.75,31.75,-0.78308123
2003-03-16,-7.75,31.75,1.0284522
2003-04-16,-7.75,31.75,-0.21015683
2003-05-16,-7.75,31.75,-1.4688724
2003-06-16,-7.75,31.75,-0.45945415
2003-07-16,-7.75,31.75,-0.8861681
2003-08-16,-7.75,31.75,-1.7894609
2003-09-16,-7.75,31.75,-1.5493004
2003-10-16,-7.75,31.75,1.6854559
2003-11-16,-7.75,31.75,0.3988836
2003-12-16,-7.75,31.75,0.44812316
2004-01-16,-7.75,31.75,-1.7475595
2004-02-15,-7.75,31.75,0.1217786
2004-03-16,-7.75,31.75,0.23623618
2004-04-16,-7.75,31.75,-0.20013979
2004-05-16,-7.75,31.75,1.3412027
2004-06-16,-7.75,31.75,-1.5501524
2004-07-16,-7.75,31.75,-0.5208965
2004-08-16,-7.75,31.75,0.1450288
2004-09-16,-7.75,31.75,-1.255623
2004-10-16,-7.75,31.75,0.42165807
2004-11-16,-7.75,31.75,0.113193974
2004-12-16,-7.75,31.75,0.42851233
2005-01-16,-7.75,31.75,-1.6979371
2005-02-15,-7.75,31.75,0.6432706
2005-03-16,-7.75,31.75,-0.5372528
2005-04-16,-7.75,31.75,-1.7274888
