date,lon,lat,SPEI
2000-01-16,-2.75,34.75,-1.0963314
2000-02-15,-2.75,34.75,-1.9282876
2000-03-16,-2.75,34.75,-2.0069127
2000-04-16,-2.75,34.75,-0.6767106
2000-05-16,-2.75,34.75,0.3622335
2000-06-16,-2.75,34.75,-1.4500642
2000-07-16,-2.75,34.75,-0.79767364
2000-08-16,-2.75,34.75,-1.368846
2000-09-16,-2.75,34.75,-0.83778316
2000-10-16,-2.75,34.75,1.524709
2000-11-16,-2.75,34.75,0.40247262
2000-12-16,-2.75,34.75,0.305699
2001-01-16,-2.75,34.75,0.012026347
2001-02-15,-2.75,34.75,-0.12118698
2001-03-16,-2.75,34.75,-1.7321916
2001-04-16,-2.75,34.75,-1.743104
2001-05-16,-2.75,34.75,-0.26297826
2001-06-16,-2.75,34.75,-2.1020877
2001-07-16,-2.75,34.75,-0.42796475
2001-08-16,-2.75,34.75,-0.73409396
2001-09-16,-2.75,34.75,0.9382754
2001-10-16,-2.75,34.75,-0.7180711
2001-11-16,-2.75,34.75,1.5979115
2001-12-16,-2.75,34.75,0.097349286
2002-01-16,-2.75,34.75,-1.7281586
2002-02-15,-2.75,34.75,-1.6447891
2002-03-16,-2.75,34.75,-0.41950634
2002-04-16,-2.75,34.75,1.0821096
2002-05-16,-2.75,34.75,0.08171351
2002-06-16,-2.75,34.75,-0.5245817
2002-07-16,-2.75,34.75,1.0631901
2002-08-16,-2.75,34.75,1.3392047
2002-09-16,-2.75,34.75,-1.324728
2002-10-16,-2.75,34.75,-0.17710094
2002-11-16,-2.75,34.75,1.0899332
2002-12-16,-2.75,34.75,-1.2768255
2003-01-16,-2.75,34.75,1.3338012
2003-02-15,-2.75,34.75,1.4480458
2003-03-16,-2.75,34.75,-0.5934786
2003-04-16,-2.75,34.75,-0.29207692
2003-05-16,-2.75,34.75,-0.9715233
2003-06-16,-2.75,34.75,-1.7784883
2003-07-16,-2.75,34.75,-1.6882309
2003-08-16,-2.75,34.75,-1.8425835
2003-09-16,-2.75,34.75,-1.3162572
2003-10-16,-2.75,34.75,1.2130617
2003-11-16,-2.75,34.75,1.3457816
2003-12-16,-2.75,34.75,0.60800254
2004-01-16,-2.75,34.75,-0.9010551
2004-02-15,-2.75,34.75,-0.87979966
2004-03-16,-2.75,34.75,0.575567
2004-04-16,-2.75,34.75,0.5089146
2004-05-16,-2.75,34.75,1.1485168
2004-06-16,-2.75,34.75,-1.1600677
2004-07-16,-2.75,34.75,-0.7160949
2004-08-16,-2.75,34.75,-0.8164333
2004-09-16,-2.75,34.75,-1.2652471
2004-10-16,-2.75,34.75,0.39368013
2004-11-16,-2.75,34.75,-0.2427607
2004-12-16,-2.75,34.75,0.044307917
2005-01-16,-2.75,34.75,-1.2259904
2005-02-15,-2.75,34.75,0.65866256
2005-03-16,-2.75,34.75,-0.08520013
2005-04-16,-2.75,34.75,-1.2223938
2005-05-16,-2.75,34.75,-1.6128532
2005-06-16,-2.75,34.75,-1.1247026
2005-07-16,-2.75,34.75,-0.42796475
2005-08-16,-2.75,34.75,-0.46650553
2005-09-16,-2.75,34.75,-0.20141438
2005-10-16,-2.75,34.75,-0.66562843
2005-11-16,-2.75,34.75,0.34124345
2005-12-16,-2.75,34.75,-0.8771636
2006-01-16,-2.75,34.75,0.6831154
2006-02-15,-2.75,34.75,0.76825505
2006-03-16,-2.75,34.75,-0.8930388
2006-04-16,-2.75,34.75,-0.9411932
2006-05-16,-2.75,34.75,0.100080244
2006-06-16,-2.75,34.75,-0.24017438
2006-07-16,-2.75,34.75,-0.8551706
2006-08-16,-2.75,34.75,-0.9906524
2006-09-16,-2.75,34.75,-0.18362506
2006-10-16,-2.75,34.75,-1.2033094
2006-11-16,-2.75,34.75,-0.8175932
2006-12-16,-2.75,34.75,0.1043695
2007-01-16,-2.75,34.75,-1.4569118
2007-02-15,-2.75,34.75,-0.84536624
2007-03-16,-2.75,34.75,-0.46477208
2007-04-16,-2.75,34.75,1.890931
2007-05-16,-2.75,34.75,-1.0353222
2007-06-16,-2.75,34.75,-1.0032109
2007-07-16,-2.75,34.75,-1.1322824
2007-08-16,-2.75,34.75,-0.45217922
2007-09-16,-2.75,34.75,0.34085283
2007-10-16,-2.75,34.75,0.853237
2007-11-16,-2.75,34.75,0.9997445
2007-12-16,-2.75,34.75,-1.084819
2008-01-16,-2.75,34.75,-0.5944551
2008-02-15,-2.75,34.75,-0.4648976
2008-03-16,-2.75,34.75,-1.5057646
2008-04-16,-2.75,34.75,-1.4211489
2008-05-16,-2.75,34.75,0.19734965
