date,lon,lat,SPEI
2000-01-16,-6.75,34.25,-0.68626755
2000-02-15,-6.75,34.25,-1.9702927
2000-03-16,-6.75,34.25,-1.8739419
2000-04-16,-6.75,34.25,1.0944148
2000-05-16,-6.75,34.25,0.32649332
2000-06-16,-6.75,34.25,-1.3473436
2000-07-16,-6.75,34.25,-0.779972
2000-08-16,-6.75,34.25,-0.94053537
2000-09-16,-6.75,34.25,0.036662072
2000-10-16,-6.75,34.25,0.8745906
2000-11-16,-6.75,34.25,-0.48841164
2000-12-16,-6.75,34.25,1.1167399
2001-01-16,-6.75,34.25,0.53466153
2001-02-15,-6.75,34.25,-1.0119728
2001-03-16,-6.75,34.25,-0.9563957
2001-04-16,-6.75,34.25,-1.9445436
2001-05-16,-6.75,34.25,0.16492097
2001-06-16,-6.75,34.25,-1.8957683
2001-07-16,-6.75,34.25,0.13583076
2001-08-16,-6.75,34.25,0.15700677
2001-09-16,-6.75,34.25,0.89854425
2001-10-16,-6.75,34.25,-0.7208303
2001-11-16,-6.75,34.25,-1.2441912
2001-12-16,-6.75,34.25,1.2185255
2002-01-16,-6.75,34.25,-1.5980408
2002-02-15,-6.75,34.25,-1.3959528
2002-03-16,-6.75,34.25,0.44368914
2002-04-16,-6.75,34.25,0.96687007
2002-05-16,-6.75,34.25,-0.34431276
2002-06-16,-6.75,34.25,-0.2354563
2002-07-16,-6.75,34.25,0.13583076
2002-08-16,-6.75,34.25,0.035617694
2002-09-16,-6.75,34.25,0.04588631
2002-10-16,-6.75,34.25,0.6266105
2002-11-16,-6.75,34.25,2.1220903
2002-12-16,-6.75,34.25,-0.5052343
2003-01-16,-6.75,34.25,0.31701604
2003-02-15,-6.75,34.25,-0.34519124
2003-03-16,-6.75,34.25,0.19291672
2003-04-16,-6.75,34.25,0.04115699
2003-05-16,-6.75,34.25,-1.5435016
2003-06-16,-6.75,34.25,-1.1359327
2003-07-16,-6.75,34.25,-1.1992544
2003-08-16,-6.75,34.25,-1.3280438
2003-09-16,-6.75,34.25,-1.6480685
2003-10-16,-6.75,34.25,1.8158964
2003-11-16,-6.75,34.25,0.21189496
2003-12-16,-6.75,34.25,1.0733932
2004-01-16,-6.75,34.25,-1.564545
2004-02-15,-6.75,34.25,-0.14715607
2004-03-16,-6.75,34.25,-0.13100693
2004-04-16,-6.75,34.25,0.3225824
2004-05-16,-6.75,34.25,1.1797755
2004-06-16,-6.75,34.25,-1.772543
2004-07-16,-6.75,34.25,-0.7351324
2004-08-16,-6.75,34.25,-0.53236586
2004-09-16,-6.75,34.25,-1.9528873
2004-10-16,-6.75,34.25,0.9600685
2004-11-16,-6.75,34.25,-0.8743409
2004-12-16,-6.75,34.25,-0.5187428
2005-01-16,-6.75,34.25,-1.795525
2005-02-15,-6.75,34.25,0.7495942
2005-03-16,-6.75,34.25,-0.20127702
2005-04-16,-6.75,34.25,-2.161854
2005-05-16,-6.75,34.25,-1.961707
2005-06-16,-6.75,34.25,-1.6451057
2005-07-16,-6.75,34.25,-0.779972
2005-08-16,-6.75,34.25,-1.3652031
2005-09-16,-6.75,34.25,-1.0398947
2005-10-16,-6.75,34.25,0.19505289
2005-11-16,-6.75,34.25,0.6354379
2005-12-16,-6.75,34.25,-0.77017707
2006-01-16,-6.75,34.25,1.2060875
2006-02-15,-6.75,34.25,0.920789
2006-03-16,-6.75,34.25,-0.19343333
2006-04-16,-6.75,34.25,-0.83149683
2006-05-16,-6.75,34.25,-0.39716572
2006-06-16,-6.75,34.25,-0.36622682
2006-07-16,-6.75,34.25,-1.0863966
2006-08-16,-6.75,34.25,-0.2709609
2006-09-16,-6.75,34.25,0.20932278
2006-10-16,-6.75,34.25,-0.12796971
2006-11-16,-6.75,34.25,-0.7232302
2006-12-16,-6.75,34.25,-0.7801515
2007-01-16,-6.75,34.25,-0.6958745
2007-02-15,-6.75,34.25,0.41178593
2007-03-16,-6.75,34.25,-0.8117759
2007-04-16,-6.75,34.25,0.9224593
2007-05-16,-6.75,34.25,-0.6163304
2007-06-16,-6.75,34.25,-1.120432
2007-07-16,-6.75,34.25,-1.614596
2007-08-16,-6.75,34.25,0.13962339
2007-09-16,-6.75,34.25,0.07347301
2007-10-16,-6.75,34.25,-0.27409774
2007-11-16,-6.75,34.25,0.13952492
2007-12-16,-6.75,34.25,-1.0979695
2008-01-16,-6.75,34.25,-0.18765414
2008-02-15,-6.75,34.25,-0.31587085
2008-03-16,-6.75,34.25,-1.4063029
2008-04-16,-6.75,34.25,-0.18887454
2008-05-16,-6.75,34.25,0.17360613
2008-06-16,-6.75,34.25,-1.9715403
2008-07-16,-6.75,34.25,-1.6017416
2008-08-16,-6.75,34.25,-1.3652031
2008-09-16,-6.75,34.25,1.3808192
2008-10-16,-6.75,34.25,1.6446755
2008-11-16,-6.75,34.25,1.1089613
2008-12-16,-6.75,34.25,0.8195238
2009-01-16,-6.75,34.25,1.0606533
2009-02-15,-6.75,34.25,1.2151977
2009-03-16,-6.75,34.25,-0.12324557
2009-04-16,-6.75,34.25,-1.0331012
2009-05-16,-6.75,34.25,-1.5632445
2009-06-16,-6.75,34.25,-1.205026
2009-07-16,-6.75,34.25,-1.5888516
2009-08-16,-6.75,34.25,-2.019983
2009-09-16,-6.75,34.25,1.2728018
2009-10-16,-6.75,34.25,-1.292366
2009-11-16,-6.75,34.25,-1.0224797
2009-12-16,-6.75,34.25,0.83455706
2010-01-16,-6.75,34.25,1.8851331
2010-02-15,-6.75,34.25,1.5384727
2010-03-16,-6.75,34.25,0.9333204
2010-04-16,-6.75,34.25,-0.5904625
2010-05-16,-6.75,34.25,-0.22081497
2010-06-16,-6.75,34.25,0.2697353
2010-07-16,-6.75,34.25,-0.06206899
2010-08-16,-6.75,34.25,-0.8390534
2010-09-16,-6.75,34.25,-0.19806615
2010-10-16,-6.75,34.25,0.91194904
2010-11-16,-6.75,34.25,1.680647
2010-12-16,-6.75,34.25,0.6161122
2011-01-16,-6.75,34.25,0.531189
2011-02-15,-6.75,34.25,-0.49322504
2011-03-16,-6.75,34.25,0.4232882
2011-04-16,-6.75,34.25,0.5007239
2011-05-16,-6.75,34.25,0.9713458
