date,lon,lat,SPEI
2000-01-16,-9.25,30.25,-0.46806964
2000-02-15,-9.25,30.25,-1.8023416
2000-03-16,-9.25,30.25,-1.9052559
2000-04-16,-9.25,30.25,0.7557065
2000-05-16,-9.25,30.25,-0.8916558
2000-06-16,-9.25,30.25,-1.710182
2000-07-16,-9.25,30.25,-0.983352
2000-08-16,-9.25,30.25,-0.3685942
2000-09-16,-9.25,30.25,-1.1649764
2000-10-16,-9.25,30.25,-0.56648165
2000-11-16,-9.25,30.25,-1.1937814
2000-12-16,-9.25,30.25,1.1331314
2001-01-16,-9.25,30.25,-0.50415814
2001-02-15,-9.25,30.25,-1.5552378
2001-03-16,-9.25,30.25,-1.5079104
2001-04-16,-9.25,30.25,-1.8178102
2001-05-16,-9.25,30.25,-0.77725327
2001-06-16,-9.25,30.25,-1.9740461
2001-07-16,-9.25,30.25,-0.34958974
2001-08-16,-9.25,30.25,-0.3685942
2001-09-16,-9.25,30.25,0.42813167
2001-10-16,-9.25,30.25,-1.5794488
2001-11-16,-9.25,30.25,-0.9550507
2001-12-16,-9.25,30.25,1.3469613
2002-01-16,-9.25,30.25,-1.5974077
2002-02-15,-9.25,30.25,-1.4976532
2002-03-16,-9.25,30.25,2.3375964
2002-04-16,-9.25,30.25,1.639582
2002-05-16,-9.25,30.25,-0.4862645
2002-06-16,-9.25,30.25,-0.22059184
2002-07-16,-9.25,30.25,-0.34958974
2002-08-16,-9.25,30.25,0.75251573
2002-09-16,-9.25,30.25,-0.7165267
2002-10-16,-9.25,30.25,-0.87440926
2002-11-16,-9.25,30.25,1.0151603
2002-12-16,-9.25,30.25,0.5523767
2003-01-16,-9.25,30.25,-0.9849298
2003-02-15,-9.25,30.25,-0.69564235
2003-03-16,-9.25,30.25,0.9056025
2003-04-16,-9.25,30.25,-0.06528434
2003-05-16,-9.25,30.25,-1.7475411
2003-06-16,-9.25,30.25,-1.0927169
2003-07-16,-9.25,30.25,-0.898435
2003-08-16,-9.25,30.25,-1.918699
2003-09-16,-9.25,30.25,-1.7111366
2003-10-16,-9.25,30.25,1.428061
2003-11-16,-9.25,30.25,0.53778017
2003-12-16,-9.25,30.25,0.038360633
2004-01-16,-9.25,30.25,-1.5671376
2004-02-15,-9.25,30.25,0.4458613
2004-03-16,-9.25,30.25,0.41328946
2004-04-16,-9.25,30.25,-0.7407773
2004-05-16,-9.25,30.25,0.7847311
2004-06-16,-9.25,30.25,-1.6131176
2004-07-16,-9.25,30.25,-0.7673326
2004-08-16,-9.25,30.25,0.4294846
2004-09-16,-9.25,30.25,-0.6968813
2004-10-16,-9.25,30.25,0.32746777
2004-11-16,-9.25,30.25,0.12403719
2004-12-16,-9.25,30.25,0.30024335
2005-01-16,-9.25,30.25,-1.5490335
2005-02-15,-9.25,30.25,0.8328762
2005-03-16,-9.25,30.25,-0.40922108
2005-04-16,-9.25,30.25,-1.630071
2005-05-16,-9.25,30.25,-1.4719697
2005-06-16,-9.25,30.25,-0.61286575
2005-07-16,-9.25,30.25,-1.574274
2005-08-16,-9.25,30.25,-0.9002184
2005-09-16,-9.25,30.25,-1.8209579
2005-10-16,-9.25,30.25,0.18618684
2005-11-16,-9.25,30.25,-0.21020675
2005-12-16,-9.25,30.25,1.0095747
2006-01-16,-9.25,30.25,1.8394715
2006-02-15,-9.25,30.25,0.16747174
2006-03-16,-9.25,30.25,-1.3404155
2006-04-16,-9.25,30.25,-0.27982494
2006-05-16,-9.25,30.25,0.02788612
2006-06-16,-9.25,30.25,-0.027612742
2006-07-16,-9.25,30.25,-0.22820874
2006-08-16,-9.25,30.25,-0.92146075
2006-09-16,-9.25,30.25,-1.1842256
2006-10-16,-9.25,30.25,0.7981235
2006-11-16,-9.25,30.25,-0.60728174
2006-12-16,-9.25,30.25,-0.90033245
2007-01-16,-9.25,30.25,-0.25266397
2007-02-15,-9.25,30.25,-0.42166764
2007-03-16,-9.25,30.25,-1.9597162
2007-04-16,-9.25,30.25,-0.24779195
2007-05-16,-9.25,30.25,-1.9182305
2007-06-16,-9.25,30.25,-1.1182201
2007-07-16,-9.25,30.25,-1.5569776
2007-08-16,-9.25,30.25,-0.116069525
2007-09-16,-9.25,30.25,-0.20920035
2007-10-16,-9.25,30.25,-0.87440926
2007-11-16,-9.25,30.25,-0.15347545
2007-12-16,-9.25,30.25,-0.94515985
2008-01-16,-9.25,30.25,-0.9179226
2008-02-15,-9.25,30.25,-0.2042267
2008-03-16,-9.25,30.25,-1.5634104
2008-04-16,-9.25,30.25,-1.5158852
2008-05-16,-9.25,30.25,-0.5402542
2008-06-16,-9.25,30.25,-2.2038891
2008-07-16,-9.25,30.25,-0.8768927
2008-08-16,-9.25,30.25,-0.85748094
2008-09-16,-9.25,30.25,1.4038371
2008-10-16,-9.25,30.25,1.1049361
2008-11-16,-9.25,30.25,0.3688728
2008-12-16,-9.25,30.25,-0.13436918
2009-01-16,-9.25,30.25,0.5863656
2009-02-15,-9.25,30.25,2.0982661
2009-03-16,-9.25,30.25,0.42920247
2009-04-16,-9.25,30.25,-1.259923
2009-05-16,-9.25,30.25,-1.439789
2009-06-16,-9.25,30.25,-0.51883787
2009-07-16,-9.25,30.25,-2.0178494
2009-08-16,-9.25,30.25,-2.096459
2009-09-16,-9.25,30.25,0.37683538
2009-10-16,-9.25,30.25,-0.9821221
2009-11-16,-9.25,30.25,-1.7569325
2009-12-16,-9.25,30.25,1.4095666
2010-01-16,-9.25,30.25,0.894205
2010-02-15,-9.25,30.25,2.0863905
2010-03-16,-9.25,30.25,0.19392283
2010-04-16,-9.25,30.25,-0.60056305
2010-05-16,-9.25,30.25,-0.084690966
2010-06-16,-9.25,30.25,0.4886246
2010-07-16,-9.25,30.25,0.7114966
2010-08-16,-9.25,30.25,-1.498099
2010-09-16,-9.25,30.25,-0.8538761
2010-10-16,-9.25,30.25,-0.0023013363
2010-11-16,-9.25,30.25,1.1862345
2010-12-16,-9.25,30.25,0.513278
2011-01-16,-9.25,30.25,0.5139908
2011-02-15,-9.25,30.25,-1.364545
2011-03-16,-9.25,30.25,1.4228289
2011-04-16,-9.25,30.25,1.7890258
2011-05-16,-9.25,30.25,-0.3907954
2011-06-16,-9.25,30.25,-0.098621845
2011-07-16,-9.25,30.25,-0.34958974
2011-08-16,-9.25,30.25,1.2054905
2011-09-16,-9.25,30.25,-1.2226424
2011-10-16,-9.25,30.25,-0.30293703
2011-11-16,-9.25,30.25,0.2551063
2011-12-16,-9.25,30.25,-1.6559592
2012-01-16,-9.25,30.25,-0.012238266
2012-02-15,-9.25,30.25,-1.2269053
2012-03-16,-9.25,30.25,0.30525073
2012-04-16,-9.25,30.25,0.7747588
2012-05-16,-9.25,30.25,-1.8150862
2012-06-16,-9.25,30.25,-1.0927154
2012-07-16,-9.25,30.25,-0.983352
2012-08-16,-9.25,30.25,-2.4857194
2012-09-16,-9.25,30.25,1.0127563
2012-10-16,-9.25,30.25,1.4931391
2012-11-16,-9.25,30.25,-0.37655622
2012-12-16,-9.25,30.25,-1.588135
2013-01-16,-9.25,30.25,-1.0243057
2013-02-15,-9.25,30.25,-0.7131828
2013-03-16,-9.25,30.25,0.72134686
2013-04-16,-9.25,30.25,-0.9223683
2013-05-16,-9.25,30.25,-0.6336363
2013-06-16,-9.25,30.25,-0.58183414
2013-07-16,-9.25,30.25,-0.8768927
2013-08-16,-9.25,30.25,-0.7710287
2013-09-16,-9.25,30.25,0.57760924
2013-10-16,-9.25,30.25,-1.3932213
2013-11-16,-9.25,30.25,-0.99601644
2013-12-16,-9.25,30.25,-0.271667
2014-01-16,-9.25,30.25,0.64935225
2014-02-15,-9.25,30.25,-0.96322256
2014-03-16,-9.25,30.25,-0.6727414
2014-04-16,-9.25,30.25,-1.1586607
2014-05-16,-9.25,30.25,-0.95393926
2014-06-16,-9.25,30.25,-1.0798547
2014-07-16,-9.25,30.25,0.41787797
2014-08-16,-9.25,30.25,1.0347768
2014-09-16,-9.25,30.25,1.1597135
2014-10-16,-9.25,30.25,-1.4298788
2014-11-16,-9.25,30.25,2.383049
2014-12-16,-9.25,30.25,-0.5474546
2015-01-16,-9.25,30.25,0.19813637
2015-02-15,-9.25,30.25,-0.4216679
2015-03-16,-9.25,30.25,-0.5091425
2015-04-16,-9.25,30.25,-0.66718453
2015-05-16,-9.25,30.25,-2.0089822
2015-06-16,-9.25,30.25,-1.0144526
