date,lon,lat,SPEI
2000-01-16,-5.25,35.25,-0.7953596
2000-02-15,-5.25,35.25,-1.8715167
2000-03-16,-5.25,35.25,-1.816714
2000-04-16,-5.25,35.25,1.35605
2000-05-16,-5.25,35.25,0.58542866
2000-06-16,-5.25,35.25,-1.4998237
2000-07-16,-5.25,35.25,-0.62399477
2000-08-16,-5.25,35.25,-1.3176677
2000-09-16,-5.25,35.25,0.20432305
2000-10-16,-5.25,35.25,0.87767553
2000-11-16,-5.25,35.25,-0.43171468
2000-12-16,-5.25,35.25,1.2315413
2001-01-16,-5.25,35.25,0.5575764
2001-02-15,-5.25,35.25,-0.8696563
2001-03-16,-5.25,35.25,-0.93773514
2001-04-16,-5.25,35.25,-2.0618544
2001-05-16,-5.25,35.25,0.18137625
2001-06-16,-5.25,35.25,-2.0194008
2001-07-16,-5.25,35.25,-0.22858486
2001-08-16,-5.25,35.25,0.14986007
2001-09-16,-5.25,35.25,1.395523
2001-10-16,-5.25,35.25,-0.69111764
2001-11-16,-5.25,35.25,-1.2233722
2001-12-16,-5.25,35.25,0.9984025
2002-01-16,-5.25,35.25,-1.5283806
2002-02-15,-5.25,35.25,-1.2440355
2002-03-16,-5.25,35.25,0.2617169
2002-04-16,-5.25,35.25,1.0179056
2002-05-16,-5.25,35.25,-0.15889329
2002-06-16,-5.25,35.25,-0.2763183
2002-07-16,-5.25,35.25,-0.29703373
2002-08-16,-5.25,35.25,0.42684788
2002-09-16,-5.25,35.25,0.24790315
2002-10-16,-5.25,35.25,0.64919746
2002-11-16,-5.25,35.25,1.8547355
2002-12-16,-5.25,35.25,-0.30010337
2003-01-16,-5.25,35.25,0.41229916
2003-02-15,-5.25,35.25,-0.053564936
2003-03-16,-5.25,35.25,0.15554792
2003-04-16,-5.25,35.25,0.24286434
2003-05-16,-5.25,35.25,-1.4895945
2003-06-16,-5.25,35.25,-1.0552956
2003-07-16,-5.25,35.25,-1.4498074
2003-08-16,-5.25,35.25,-1.0914888
2003-09-16,-5.25,35.25,-1.0902159
2003-10-16,-5.25,35.25,1.9293827
